,title,rating,userId
0,10 Items or Less,3.0,15
1,10 Items or Less,4.0,23
2,10 Items or Less,4.0,131
3,10 Items or Less,4.5,132
4,10 Items or Less,5.0,283
5,10 Items or Less,4.0,363
6,10 Items or Less,5.0,427
7,10 Items or Less,4.0,452
8,10 Items or Less,5.0,547
9,10 Items or Less,5.0,558
10,10 Items or Less,4.0,576
11,2 Days in Paris,4.0,15
12,2 Days in Paris,4.0,118
13,2 Days in Paris,5.0,242
14,2 Days in Paris,2.0,367
15,2 Days in Paris,4.0,388
16,2 Days in Paris,5.0,472
17,2 Days in Paris,4.0,509
18,2 Days in Paris,4.0,518
19,2 Days in Paris,3.5,528
20,2 Days in Paris,4.0,564
21,2 Days in Paris,5.0,597
22,2 Days in Paris,5.0,652
23,"20,000 Leagues Under the Sea",3.0,4
24,"20,000 Leagues Under the Sea",2.0,6
25,"20,000 Leagues Under the Sea",1.5,22
26,"20,000 Leagues Under the Sea",3.0,32
27,"20,000 Leagues Under the Sea",4.0,41
28,"20,000 Leagues Under the Sea",5.0,47
29,"20,000 Leagues Under the Sea",2.0,49
30,"20,000 Leagues Under the Sea",3.5,60
31,"20,000 Leagues Under the Sea",3.0,73
32,"20,000 Leagues Under the Sea",2.5,77
33,"20,000 Leagues Under the Sea",4.0,85
34,"20,000 Leagues Under the Sea",3.0,92
35,"20,000 Leagues Under the Sea",2.0,105
36,"20,000 Leagues Under the Sea",3.0,110
37,"20,000 Leagues Under the Sea",1.0,119
38,"20,000 Leagues Under the Sea",1.0,130
39,"20,000 Leagues Under the Sea",2.0,143
40,"20,000 Leagues Under the Sea",1.0,151
41,"20,000 Leagues Under the Sea",3.0,161
42,"20,000 Leagues Under the Sea",1.5,165
43,"20,000 Leagues Under the Sea",1.0,168
44,"20,000 Leagues Under the Sea",3.0,177
45,"20,000 Leagues Under the Sea",3.0,188
46,"20,000 Leagues Under the Sea",3.0,194
47,"20,000 Leagues Under the Sea",4.0,199
48,"20,000 Leagues Under the Sea",1.5,212
49,"20,000 Leagues Under the Sea",2.0,213
50,"20,000 Leagues Under the Sea",2.5,221
51,"20,000 Leagues Under the Sea",4.0,224
52,"20,000 Leagues Under the Sea",2.5,243
53,"20,000 Leagues Under the Sea",2.0,253
54,"20,000 Leagues Under the Sea",3.0,254
55,"20,000 Leagues Under the Sea",2.5,268
56,"20,000 Leagues Under the Sea",2.0,279
57,"20,000 Leagues Under the Sea",3.0,285
58,"20,000 Leagues Under the Sea",3.0,288
59,"20,000 Leagues Under the Sea",3.0,292
60,"20,000 Leagues Under the Sea",4.0,354
61,"20,000 Leagues Under the Sea",1.5,355
62,"20,000 Leagues Under the Sea",0.5,367
63,"20,000 Leagues Under the Sea",4.0,384
64,"20,000 Leagues Under the Sea",3.0,385
65,"20,000 Leagues Under the Sea",2.0,389
66,"20,000 Leagues Under the Sea",3.0,390
67,"20,000 Leagues Under the Sea",3.0,396
68,"20,000 Leagues Under the Sea",5.0,398
69,"20,000 Leagues Under the Sea",1.0,421
70,"20,000 Leagues Under the Sea",2.0,426
71,"20,000 Leagues Under the Sea",1.0,433
72,"20,000 Leagues Under the Sea",2.0,447
73,"20,000 Leagues Under the Sea",3.0,453
74,"20,000 Leagues Under the Sea",1.5,461
75,"20,000 Leagues Under the Sea",2.0,464
76,"20,000 Leagues Under the Sea",3.0,516
77,"20,000 Leagues Under the Sea",4.0,517
78,"20,000 Leagues Under the Sea",1.0,518
79,"20,000 Leagues Under the Sea",3.0,522
80,"20,000 Leagues Under the Sea",3.0,525
81,"20,000 Leagues Under the Sea",2.0,534
82,"20,000 Leagues Under the Sea",3.0,535
83,"20,000 Leagues Under the Sea",1.0,561
84,"20,000 Leagues Under the Sea",4.0,564
85,"20,000 Leagues Under the Sea",2.5,574
86,"20,000 Leagues Under the Sea",4.0,577
87,"20,000 Leagues Under the Sea",2.5,580
88,"20,000 Leagues Under the Sea",3.0,589
89,"20,000 Leagues Under the Sea",3.0,590
90,"20,000 Leagues Under the Sea",3.0,593
91,"20,000 Leagues Under the Sea",1.0,605
92,"20,000 Leagues Under the Sea",2.0,619
93,"20,000 Leagues Under the Sea",4.0,30
94,"20,000 Leagues Under the Sea",2.0,99
95,"20,000 Leagues Under the Sea",4.0,102
96,"20,000 Leagues Under the Sea",2.5,198
97,"20,000 Leagues Under the Sea",5.0,348
98,"20,000 Leagues Under the Sea",5.0,388
99,"20,000 Leagues Under the Sea",3.0,427
100,"20,000 Leagues Under the Sea",4.0,452
101,"20,000 Leagues Under the Sea",3.5,468
102,"20,000 Leagues Under the Sea",3.0,472
103,"20,000 Leagues Under the Sea",3.0,509
104,"20,000 Leagues Under the Sea",3.5,528
105,"20,000 Leagues Under the Sea",1.0,529
106,"20,000 Leagues Under the Sea",3.0,547
107,"20,000 Leagues Under the Sea",5.0,558
108,"20,000 Leagues Under the Sea",5.0,564
109,"20,000 Leagues Under the Sea",3.5,587
110,"20,000 Leagues Under the Sea",4.0,596
111,"20,000 Leagues Under the Sea",4.0,608
